"objeto","tipo","operacion","archivo","linea","estado","evidencia"
"gestiones_clientes_cobranza","tabla","FROM","factory/Mapper.php","9057","detectado","FROM gestiones_clientes_cobranza"
"gestiones_clientes_cobranza","tabla","INSERT INTO","factory/Mapper.php","9024","detectado","INSERT INTO gestiones_clientes_cobranza"
"grupo_empresa","tabla","INSERT INTO","factory/Mapper.php","9074","detectado","INSERT INTO grupo_empresa"
"Grupos_clientes","tabla","DELETE FROM","factory/Mapper.php","13248","detectado","DELETE FROM Grupos_clientes"
"Grupos_clientes","tabla","INSERT INTO","factory/Mapper.php","13236","detectado","INSERT INTO Grupos_clientes"
"horarios_por_secciones","tabla","FROM","factory/Mapper.php","8382","detectado","FROM horarios_por_secciones"
"horarios_por_secciones","tabla","INSERT INTO","factory/Mapper.php","8357","detectado","INSERT INTO horarios_por_secciones"
"importe_por_operacion_c","tabla","FROM","factory/Mapper.php","9267","detectado","FROM importe_por_operacion_c"
"importe_por_operacion_c","tabla","INSERT INTO","factory/Mapper.php","9251","detectado","INSERT INTO importe_por_operacion_c"
"importe_por_operacion_d","tabla","INSERT INTO","factory/Mapper.php","9286","detectado","INSERT INTO importe_por_operacion_d"
"impuesto_por_documento_proveedor","tabla","DELETE FROM","factory/Mapper.php","9444","detectado","DELETE FROM impuesto_por_documento_proveedor"
"impuesto_por_documento_proveedor","tabla","INSERT INTO","factory/Mapper.php","9425","detectado","INSERT INTO impuesto_por_documento_proveedor"
"indicadores_por_rol","tabla","DELETE FROM","factory/Mapper.php","9491","detectado","DELETE FROM indicadores_por_rol"
"indicadores_por_rol","tabla","INSERT INTO","factory/Mapper.php","9529","detectado","INSERT INTO indicadores_por_rol"
"ingreso_cheque_propio","tabla","FROM","factory/Mapper.php","9573","detectado","FROM ingreso_cheque_propio"
"ingreso_cheque_propio","tabla","INSERT INTO","factory/Mapper.php","9555","detectado","INSERT INTO ingreso_cheque_propio"
"instrucciones_articulo","tabla","INSERT INTO","factory/Mapper.php","9592","detectado","INSERT INTO instrucciones_articulo"
"koi_sessions","tabla","FROM","clases/UsuarioLogin.php","55","detectado","FROM koi_sessions"
"koi_sessions","tabla","INSERT INTO","clases/UsuarioLogin.php","55","detectado","INSERT INTO koi_sessions"
"koi_sessions","tabla","UPDATE","clases/UsuarioLogin.php","55","detectado","UPDATE koi_sessions"
"koi_ticket","tabla","FROM","factory/Mapper.php","9171","detectado","FROM koi_ticket"
"koi_ticket","tabla","INSERT INTO","factory/Mapper.php","9126","detectado","INSERT INTO koi_ticket"
"lineas_productos","tabla","FROM","factory/Mapper.php","9673","detectado","FROM lineas_productos"
"lineas_productos","tabla","INSERT INTO","factory/Mapper.php","9637","detectado","INSERT INTO lineas_productos"
"Materias_primas","tabla","INSERT INTO","factory/Mapper.php","5658","detectado","INSERT INTO Materias_primas"
"modulos_basicos","tabla","INSERT INTO","factory/Mapper.php","6318","detectado","INSERT INTO modulos_basicos"
"motivos_ausentismo","tabla","FROM","factory/Mapper.php","9869","detectado","FROM motivos_ausentismo"
"motivos_ausentismo","tabla","INSERT INTO","factory/Mapper.php","9843","detectado","INSERT INTO motivos_ausentismo"
"movimientos_almacen","tabla","FROM","factory/Mapper.php","9916","detectado","FROM movimientos_almacen"
"movimientos_almacen","tabla","INSERT INTO","factory/Mapper.php","9886","detectado","INSERT INTO movimientos_almacen"
"movimientos_almacen_confirmacion","tabla","FROM","factory/Mapper.php","9975","detectado","FROM movimientos_almacen_confirmacion"
"movimientos_almacen_confirmacion","tabla","INSERT INTO","factory/Mapper.php","9933","detectado","INSERT INTO movimientos_almacen_confirmacion"
"movimientos_almacen_confirmacion_mp","tabla","FROM","factory/Mapper.php","10081","detectado","FROM movimientos_almacen_confirmacion_mp"
"movimientos_almacen_confirmacion_mp","tabla","INSERT INTO","factory/Mapper.php","10039","detectado","INSERT INTO movimientos_almacen_confirmacion_mp"
"movimientos_almacen_mp","tabla","FROM","factory/Mapper.php","10022","detectado","FROM movimientos_almacen_mp"
"movimientos_almacen_mp","tabla","INSERT INTO","factory/Mapper.php","9992","detectado","INSERT INTO movimientos_almacen_mp"
"movimientos_stock","tabla","FROM","factory/Mapper.php","10130","detectado","FROM movimientos_stock"
"movimientos_stock","tabla","INSERT INTO","factory/Mapper.php","10098","detectado","INSERT INTO movimientos_stock"
"movimientos_stock_mp","tabla","FROM","factory/Mapper.php","10179","detectado","FROM movimientos_stock_mp"
"movimientos_stock_mp","tabla","INSERT INTO","factory/Mapper.php","10147","detectado","INSERT INTO movimientos_stock_mp"
"nombre_sp","procedure","CALL","docs/migracion/stored-procedures-mysql.md","13","detectado","CALL nombre_sp"
"notas_credito_causalidades","tabla","DELETE FROM","factory/Mapper.php","5049","detectado","DELETE FROM notas_credito_causalidades"
"notas_credito_causalidades","tabla","INSERT INTO","factory/Mapper.php","5039","detectado","INSERT INTO notas_credito_causalidades"
"notificaciones_por_usuario","tabla","INSERT INTO","factory/Mapper.php","10485","detectado","INSERT INTO notificaciones_por_usuario"
"orden_de_pago","tabla","FROM","factory/Mapper.php","10994","detectado","FROM orden_de_pago"
"orden_de_pago","tabla","INSERT INTO","factory/Mapper.php","10936","detectado","INSERT INTO orden_de_pago"
"Orden_fabricacion","tabla","FROM","factory/Mapper.php","10918","detectado","FROM Orden_fabricacion"
"Orden_fabricacion","tabla","INSERT INTO","factory/Mapper.php","10859","detectado","INSERT INTO Orden_fabricacion"
"ordenes_compra_cabecera","tabla","FROM","factory/Mapper.php","10754","detectado","FROM ordenes_compra_cabecera"
"ordenes_compra_cabecera","tabla","INSERT INTO","factory/Mapper.php","10706","detectado","INSERT INTO ordenes_compra_cabecera"
"Ordenes_compra_detalle","tabla","FROM","factory/Mapper.php","10841","detectado","FROM Ordenes_compra_detalle"
"Ordenes_compra_detalle","tabla","INSERT INTO","factory/Mapper.php","10772","detectado","INSERT INTO Ordenes_compra_detalle"
"parametros_contabilidad","tabla","INSERT INTO","factory/Mapper.php","11079","detectado","INSERT INTO parametros_contabilidad"
"Pasos_rutas_produccion","tabla","INSERT INTO","factory/Mapper.php","13345","detectado","INSERT INTO Pasos_rutas_produccion"
"patrones_mp_cabecera","tabla","INSERT INTO","factory/Mapper.php","11125","detectado","INSERT INTO patrones_mp_cabecera"
"Patrones_mp_detalle","tabla","DELETE FROM","factory/Mapper.php","11151","detectado","DELETE FROM Patrones_mp_detalle"
"Patrones_mp_detalle","tabla","FROM","factory/Mapper.php","11234","detectado","FROM Patrones_mp_detalle"
"patrones_mp_detalle","tabla","INSERT INTO","factory/Mapper.php","11188","detectado","INSERT INTO patrones_mp_detalle"
"pedidos_c","tabla","FROM","factory/Mapper.php","11320","detectado","FROM pedidos_c"
"pedidos_c","tabla","INSERT INTO","factory/Mapper.php","11254","detectado","INSERT INTO pedidos_c"
"pedidos_d","tabla","DELETE FROM","factory/Mapper.php","11296","detectado","DELETE FROM pedidos_d"
"pedidos_d","tabla","INSERT INTO","factory/Mapper.php","11338","detectado","INSERT INTO pedidos_d"
"pedidos_d_v","tabla","FROM","content/sistema/indicadores/index.php","152","detectado","FROM pedidos_d_v"
"periodos_fiscales_cierres","tabla","FROM","factory/Mapper.php","5101","detectado","FROM periodos_fiscales_cierres"
"periodos_fiscales_cierres","tabla","INSERT INTO","factory/Mapper.php","5069","detectado","INSERT INTO periodos_fiscales_cierres"
"periodos_fiscales_tipos","tabla","FROM","factory/Mapper.php","14232","detectado","FROM periodos_fiscales_tipos"
"periodos_fiscales_tipos","tabla","INSERT INTO","factory/Mapper.php","14206","detectado","INSERT INTO periodos_fiscales_tipos"
"permisos_por_caja","tabla","DELETE FROM","factory/Mapper.php","11411","detectado","DELETE FROM permisos_por_caja"
"permisos_por_caja","tabla","INSERT INTO","factory/Mapper.php","11403","detectado","INSERT INTO permisos_por_caja"
"permisos_por_usuarios_por_caja","tabla","DELETE FROM","factory/Mapper.php","11442","detectado","DELETE FROM permisos_por_usuarios_por_caja"
"permisos_por_usuarios_por_caja","tabla","INSERT INTO","factory/Mapper.php","11431","detectado","INSERT INTO permisos_por_usuarios_por_caja"
"persona_gasto","tabla","FROM","factory/Mapper.php","11486","detectado","FROM persona_gasto"
"persona_gasto","tabla","INSERT INTO","factory/Mapper.php","11460","detectado","INSERT INTO persona_gasto"
"plan_cuentas","tabla","INSERT INTO","factory/Mapper.php","9320","detectado","INSERT INTO plan_cuentas"
"Planes_produccion","tabla","FROM","factory/Mapper.php","11698","detectado","FROM Planes_produccion"
"Planes_produccion","tabla","INSERT INTO","factory/Mapper.php","11671","detectado","INSERT INTO Planes_produccion"
"presupuesto_c","tabla","FROM","factory/Mapper.php","11878","detectado","FROM presupuesto_c"
"presupuesto_c","tabla","INSERT INTO","factory/Mapper.php","11840","detectado","INSERT INTO presupuesto_c"
"presupuesto_d","tabla","DELETE FROM","factory/Mapper.php","11862","detectado","DELETE FROM presupuesto_d"
"presupuesto_d","tabla","FROM","factory/Mapper.php","11952","detectado","FROM presupuesto_d"
"presupuesto_d","tabla","INSERT INTO","factory/Mapper.php","11896","detectado","INSERT INTO presupuesto_d"
"presupuesto_orden_compra","tabla","DELETE FROM","factory/Mapper.php","11985","detectado","DELETE FROM presupuesto_orden_compra"
"presupuesto_orden_compra","tabla","FROM","factory/Mapper.php","11988","detectado","FROM presupuesto_orden_compra"
"presupuesto_orden_compra","tabla","INSERT INTO","factory/Mapper.php","11970","detectado","INSERT INTO presupuesto_orden_compra"
"proveedores_datos","tabla","FROM","factory/Mapper.php","8546","detectado","FROM proveedores_datos"
"proveedores_datos","tabla","FROM","factory/Mapper.php","12150","detectado","FROM proveedores_datos"
"proveedores_datos","tabla","INSERT INTO","factory/Mapper.php","8399","detectado","INSERT INTO proveedores_datos"
"proveedores_datos","tabla","INSERT INTO","factory/Mapper.php","12006","detectado","INSERT INTO proveedores_datos"
"Proveedores_materias_primas","tabla","INSERT INTO","factory/Mapper.php","12169","detectado","INSERT INTO Proveedores_materias_primas"
"rango_talles","tabla","FROM","factory/Mapper.php","12309","detectado","FROM rango_talles"
"rango_talles","tabla","INSERT INTO","factory/Mapper.php","12273","detectado","INSERT INTO rango_talles"
"rechazo_de_cheque_c","tabla","FROM","factory/Mapper.php","12392","detectado","FROM rechazo_de_cheque_c"
"rechazo_de_cheque_c","tabla","INSERT INTO","factory/Mapper.php","12364","detectado","INSERT INTO rechazo_de_cheque_c"
"rechazo_de_cheque_d","tabla","FROM","factory/Mapper.php","12344","detectado","FROM rechazo_de_cheque_d"
"rechazo_de_cheque_d","tabla","INSERT INTO","factory/Mapper.php","12328","detectado","INSERT INTO rechazo_de_cheque_d"
"registro_entradas_salidas","tabla","DELETE FROM","factory/Mapper.php","8595","detectado","DELETE FROM registro_entradas_salidas"
"registro_entradas_salidas","tabla","FROM","factory/Mapper.php","8598","detectado","FROM registro_entradas_salidas"
"registro_entradas_salidas","tabla","INSERT INTO","factory/Mapper.php","8563","detectado","INSERT INTO registro_entradas_salidas"
"reingreso_cheque_cartera","tabla","FROM","factory/Mapper.php","12521","detectado","FROM reingreso_cheque_cartera"
"reingreso_cheque_cartera","tabla","INSERT INTO","factory/Mapper.php","12493","detectado","INSERT INTO reingreso_cheque_cartera"
"remito_orden_de_compra","tabla","DELETE FROM","factory/Mapper.php","12653","detectado","DELETE FROM remito_orden_de_compra"
"remito_orden_de_compra","tabla","DELETE FROM","factory/Mapper.php","12705","detectado","DELETE FROM remito_orden_de_compra"
"remito_orden_de_compra","tabla","FROM","factory/Mapper.php","12656","detectado","FROM remito_orden_de_compra"
"remito_orden_de_compra","tabla","INSERT INTO","factory/Mapper.php","12617","detectado","INSERT INTO remito_orden_de_compra"
"remitos_c","tabla","FROM","factory/Mapper.php","12598","detectado","FROM remitos_c"
"remitos_c","tabla","INSERT INTO","factory/Mapper.php","12541","detectado","INSERT INTO remitos_c"
